OfficialName;Names
Abyei;Abyei
Afghanistan;Afghanistan
Aksai Chin;Aksai Chin
Albania;Albania
Algeria;Algeria
Andorra;Andorra
Angola;Angola
Antigua and Barbuda;Antigua and Barbuda
Antigua and Barbuda;Antigua
Argentina;Argentina
Armenia;Armenia
Arunachal Pradesh;Arunachal Pradesh
Arunachal Pradesh;Arunachal P.
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Bahamas;Bahamas
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Belarus;Belarus
Belgium;Belgium
Belize;Belize
Benin;Benin
Bhutan;Bhutan
Bolivia;Bolivia
Bosnia and Herzegovina;Bosnia and Herzegovina
Bosnia and Herzegovina;Bosnia Herzeg.
Botswana;Botswana
Brazil;Brazil
Brunei Darussalam;Brunei Darussalam
Brunei Darussalam;Brunei
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Côte d'Ivoire;Côte d'Ivoire
Côte d'Ivoire;Cote d'Ivoire
Côte d'Ivoire;Cote D'Ivoire
Cambodia;Cambodia
Cameroon;Cameroon
Canada;Canada
Cape Verde;Cape Verde
Cape Verde;Cabo verde
Cayman Islands;Cayman Islands
Central African Republic;Central African Republic
Central African Republic;Central Africa
Central African Republic;Central African (Rep.)
Chad;Chad
Chile;Chile
China;China
China;China (People's Rep. of)
China/India;China/India
Colombia;Colombia
Comoros;Comoros
Congo;Congo
Congo;Congo (Rep. of the)
Costa Rica;Costa Rica
Croatia;Croatia
Cuba;Cuba
Cyprus;Cyprus
Czech Republic;Czech Republic
Dem People's Rep of Korea;Dem People's Rep of Korea
Dem People's Rep of Korea;North Korea
Dem People's Rep of Korea;Korea, Democratic People's Republic of
Dem People's Rep of Korea;Korea (Dem People's Rep. of)
Democratic Republic of the Congo;Democratic Republic of the Congo
Democratic Republic of the Congo;D.R. Congo
Democratic Republic of the Congo;Congo, The Democratic Republic of the
Democratic Republic of the Congo;Congo (Dem. Rep. of the)
Denmark;Denmark
Djibouti;Djibouti
Dominica;Dominica
Dominican Republic;Dominican Republic
Dominican Republic;Dominican R.
Dominican Republic;Dominican (Rep.)
Ecuador;Ecuador
Egypt;Egypt
El Salvador;El Salvador
Equatorial Guinea;Equatorial Guinea
Equatorial Guinea;Equat. Guinea
Eritrea;Eritrea
Estonia;Estonia
Ethiopia;Ethiopia
Falkland Islands (Malvinas);Falkland Islands (Malvinas)
Falkland Islands (Malvinas);Falkland
Falkland Islands (Malvinas);Falkland Islands
Faroe Islands;Faroe Islands
Fiji;Fiji
Finland;Finland
France;France
French Guiana;French Guiana
French Polynesia;French Polynesia
French Southern and Antarctic Territories;French Southern and Antarctic Territories
French Southern and Antarctic Territories;French S.A.T.
Gabon;Gabon
Gambia;Gambia
Gaza Strip;Gaza Strip
Georgia;Georgia
Germany;Germany
Ghana;Ghana
Greece;Greece
Greenland;Greenland
Grenada;Grenada
Guadeloupe;Guadeloupe
Guadeloupe;Guadaloupe
Guam;Guam
Guatemala;Guatemala
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Guyana;Guyana
Haiti;Haiti
Hala'ib triangle;Hala'ib triangle
Heard Island and McDonald Islands;Heard Island and McDonald Islands
Heard Island and McDonald Islands;Heard Island
Honduras;Honduras
Hong Kong;Hong Kong
Hungary;Hungary
Iceland;Iceland
Ilemi triangle;Ilemi triangle
India;India
Indonesia;Indonesia
Iran (Islamic Republic of);Iran (Islamic Republic of)
